plan_name,plan_data_gb,plan_price_eur,plan_max_speed_mbps,plan_network_type,age,city,region,urban,monthly_data_gb,monthly_call_minutes,monthly_sms,international_calls,payment_method,customer_tenure_months,avg_download_speed_mbps,network_complaints_last_6_months,dropped_calls_per_month,churn,contract_type
Mobile Easy,10,19.99,250,5G,40,Ghent,Flanders,Yes,6.8,391,4,No,Direct debit,17,178,1,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,51,Brussels,Brussels,Yes,41.9,153,11,Yes,Direct debit,11,319,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,33,Hasselt,Flanders,No,2.3,294,101,No,Direct debit,7,96,2,1,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,41,Brussels,Brussels,Yes,7.0,571,34,No,Direct debit,13,125,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Ghent,Flanders,Yes,7.7,568,30,No,Direct debit,1,190,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,34,Leuven,Flanders,Yes,58.7,512,36,Yes,Direct debit,36,188,3,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,36,Charleroi,Wallonia,Yes,111.0,982,18,No,Bank transfer,5,239,2,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,42,Leuven,Flanders,Yes,4.8,585,65,No,Direct debit,2,136,3,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,34,Liège,Wallonia,Yes,24.4,962,29,No,Direct debit,26,381,0,3,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,55,Mons,Wallonia,No,34.4,1505,4,No,Direct debit,36,317,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,29,Brussels,Brussels,Yes,4.6,751,5,Yes,Direct debit,41,120,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,37,Antwerp,Flanders,Yes,47.2,153,30,No,Direct debit,17,281,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,34,Ghent,Flanders,Yes,2.0,525,110,No,Direct debit,6,140,1,4,No,Month-to-month
Mobile Essential,5,16.99,220,4G,57,Ghent,Flanders,Yes,5.2,476,14,No,Bank transfer,33,106,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,42,Ghent,Flanders,Yes,161.4,1089,81,No,Direct debit,29,748,1,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,52,Charleroi,Wallonia,Yes,123.2,401,57,Yes,Bank transfer,7,677,0,2,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,22,Liège,Wallonia,Yes,54.4,236,11,No,Card,57,224,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,43,Hasselt,Flanders,No,10.1,307,1,No,Direct debit,3,164,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,50,Antwerp,Flanders,Yes,4.3,158,4,No,Direct debit,98,123,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,40,Namur,Wallonia,No,61.5,50,52,No,Bank transfer,48,192,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,52,Mons,Wallonia,No,10.0,1362,8,No,Bank transfer,28,82,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,33,Namur,Wallonia,No,5.2,438,18,No,Direct debit,68,144,1,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,56,Brussels,Brussels,Yes,48.9,171,27,No,Direct debit,31,367,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,67,Hasselt,Flanders,No,2.6,1148,51,No,Direct debit,6,125,0,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,35,Brussels,Brussels,Yes,144.1,1266,4,No,Card,15,764,1,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Antwerp,Flanders,Yes,9.0,487,20,No,Direct debit,2,176,2,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,57,Brussels,Brussels,Yes,59.6,146,26,Yes,Direct debit,12,258,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,58,Hasselt,Flanders,No,5.4,312,31,No,Bank transfer,33,118,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Liège,Wallonia,Yes,33.4,372,68,No,Direct debit,12,282,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,34,Brussels,Brussels,Yes,66.7,448,7,No,Direct debit,10,288,0,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,36,Ghent,Flanders,Yes,5.0,190,65,No,Direct debit,22,79,1,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,23,Leuven,Flanders,Yes,184.4,789,47,No,Bank transfer,50,529,1,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,28,Ghent,Flanders,Yes,120.8,62,32,No,Direct debit,2,186,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,27,Brussels,Brussels,Yes,131.5,869,48,No,Direct debit,12,446,0,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,30,Ghent,Flanders,Yes,110.8,983,21,No,Direct debit,5,193,1,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Liège,Wallonia,Yes,66.7,335,5,No,Direct debit,29,206,0,4,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,42,Brussels,Brussels,Yes,128.4,414,43,No,Direct debit,3,391,1,4,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,58,Brussels,Brussels,Yes,4.5,1057,29,No,Direct debit,27,152,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,28,Ghent,Flanders,Yes,2.6,660,40,No,Direct debit,9,128,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,51,Mons,Wallonia,No,3.9,344,16,Yes,Bank transfer,6,91,0,1,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,37,Liège,Wallonia,Yes,9.7,373,94,No,Bank transfer,67,140,1,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,39,Liège,Wallonia,Yes,6.2,602,35,No,Direct debit,1,112,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,48,Ghent,Flanders,Yes,5.6,1289,3,Yes,Direct debit,14,128,0,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,26,Hasselt,Flanders,No,78.1,381,23,Yes,Direct debit,1,241,1,3,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,44,Brussels,Brussels,Yes,5.9,336,56,No,Bank transfer,16,92,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,41,Hasselt,Flanders,No,5.7,446,63,No,Direct debit,17,99,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,45,Charleroi,Wallonia,Yes,44.4,448,27,No,Direct debit,10,311,0,3,No,Month-to-month
Mobile Essential,5,16.99,220,4G,43,Hasselt,Flanders,No,5.6,535,90,No,Direct debit,4,150,0,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,69,Charleroi,Wallonia,Yes,96.7,415,12,Yes,Direct debit,12,214,2,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,32,Liège,Wallonia,Yes,2.8,901,21,No,Direct debit,27,157,1,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,33,Brussels,Brussels,Yes,43.1,223,91,No,Direct debit,37,551,0,1,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,32,Charleroi,Wallonia,Yes,114.8,574,90,No,Direct debit,19,239,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,33,Brussels,Brussels,Yes,3.5,588,46,No,Direct debit,22,111,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,32,Mechelen,Flanders,No,5.3,238,78,No,Direct debit,6,152,2,1,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,54,Brussels,Brussels,Yes,111.3,570,3,Yes,Direct debit,9,187,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,57,Brussels,Brussels,Yes,62.2,598,80,Yes,Direct debit,5,303,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Ghent,Flanders,Yes,37.1,50,15,Yes,Direct debit,7,299,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,30,Antwerp,Flanders,Yes,114.5,206,7,No,Direct debit,7,281,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Leuven,Flanders,Yes,3.1,1111,10,No,Direct debit,18,167,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,33,Mechelen,Flanders,No,11.5,283,21,No,Direct debit,20,172,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,47,Brussels,Brussels,Yes,4.5,171,11,No,Direct debit,70,74,1,2,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,42,Brussels,Brussels,Yes,79.2,86,15,No,Direct debit,6,198,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,21,Mechelen,Flanders,No,36.9,191,5,No,Direct debit,25,198,3,3,No,Month-to-month
Mobile Easy,10,19.99,250,5G,58,Ghent,Flanders,Yes,5.5,403,14,No,Bank transfer,41,153,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,61,Liège,Wallonia,Yes,4.8,161,33,Yes,Direct debit,20,126,1,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,32,Liège,Wallonia,Yes,5.7,665,23,No,Direct debit,8,157,2,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,35,Charleroi,Wallonia,Yes,8.8,235,17,No,Direct debit,8,122,1,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,43,Liège,Wallonia,Yes,36.7,538,54,No,Direct debit,1,206,2,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Ghent,Flanders,Yes,55.8,1016,89,No,Direct debit,9,252,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,47,Liège,Wallonia,Yes,126.2,978,56,No,Direct debit,33,334,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,64,Antwerp,Flanders,Yes,61.3,532,16,No,Direct debit,2,238,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,37,Antwerp,Flanders,Yes,5.0,181,54,No,Direct debit,6,147,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,30,Namur,Wallonia,No,33.0,422,6,No,Direct debit,30,194,0,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,23,Leuven,Flanders,Yes,56.5,543,5,No,Bank transfer,37,201,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,31,Namur,Wallonia,No,57.5,1672,16,No,Bank transfer,15,305,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,39,Namur,Wallonia,No,83.4,86,65,No,Direct debit,29,195,0,3,No,Month-to-month
Mobile Smart,60,24.99,500,5G,61,Charleroi,Wallonia,Yes,44.8,423,11,No,Direct debit,12,279,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Charleroi,Wallonia,Yes,25.5,650,2,No,Direct debit,5,302,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,42,Leuven,Flanders,Yes,6.1,470,5,No,Direct debit,13,177,4,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,39,Antwerp,Flanders,Yes,2.1,505,78,No,Direct debit,21,73,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,54,Hasselt,Flanders,No,5.5,246,40,No,Direct debit,71,119,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,70,Ghent,Flanders,Yes,3.0,781,11,No,Direct debit,2,128,0,4,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Hasselt,Flanders,No,50.8,448,32,Yes,Direct debit,17,180,3,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Liège,Wallonia,Yes,4.3,504,29,Yes,Direct debit,10,149,3,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,52,Liège,Wallonia,Yes,56.0,832,42,No,Direct debit,18,325,1,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,48,Ghent,Flanders,Yes,84.9,351,10,No,Bank transfer,1,615,2,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,62,Brussels,Brussels,Yes,11.2,945,79,No,Direct debit,10,129,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,47,Leuven,Flanders,Yes,11.1,156,14,No,Direct debit,42,110,3,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,35,Brussels,Brussels,Yes,79.2,523,47,Yes,Direct debit,20,306,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,47,Charleroi,Wallonia,Yes,11.2,234,0,No,Direct debit,15,121,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,53,Ghent,Flanders,Yes,6.0,189,18,No,Direct debit,9,130,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,49,Brussels,Brussels,Yes,10.6,1280,17,No,Direct debit,9,158,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,46,Brussels,Brussels,Yes,5.4,163,31,No,Direct debit,12,89,1,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,52,Hasselt,Flanders,No,72.3,454,3,No,Direct debit,44,302,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,54,Hasselt,Flanders,No,103.4,153,62,Yes,Direct debit,83,210,3,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,56,Ghent,Flanders,Yes,27.2,910,9,No,Direct debit,14,338,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,47,Brussels,Brussels,Yes,57.1,326,45,No,Direct debit,12,218,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,37,Ghent,Flanders,Yes,143.9,830,65,No,Direct debit,45,285,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,41,Antwerp,Flanders,Yes,3.3,636,33,No,Direct debit,14,143,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,54,Liège,Wallonia,Yes,119.8,1526,54,No,Direct debit,20,179,1,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,30,Hasselt,Flanders,No,62.7,127,43,No,Card,7,151,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,44,Ghent,Flanders,Yes,130.4,205,17,No,Direct debit,33,317,0,0,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,35,Antwerp,Flanders,Yes,143.8,802,66,No,Direct debit,19,333,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Mons,Wallonia,No,5.9,540,13,No,Direct debit,40,156,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,55,Leuven,Flanders,Yes,2.2,369,33,No,Bank transfer,37,82,3,3,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,42,Liège,Wallonia,Yes,7.3,1360,54,No,Bank transfer,6,118,0,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Brussels,Brussels,Yes,5.0,433,19,No,Direct debit,31,123,2,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,23,Leuven,Flanders,Yes,50.2,241,14,No,Direct debit,39,183,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,48,Brussels,Brussels,Yes,82.6,836,24,Yes,Direct debit,11,335,0,0,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,47,Leuven,Flanders,Yes,5.1,443,68,Yes,Direct debit,5,171,3,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,65,Mons,Wallonia,No,51.2,466,106,No,Direct debit,1,167,0,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,36,Ghent,Flanders,Yes,6.5,670,31,No,Direct debit,15,113,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,42,Brussels,Brussels,Yes,9.2,687,43,No,Direct debit,11,169,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,42,Brussels,Brussels,Yes,2.9,203,93,No,Direct debit,20,138,0,3,No,Month-to-month
Mobile Easy,10,19.99,250,5G,58,Ghent,Flanders,Yes,4.1,354,4,Yes,Bank transfer,5,98,1,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,38,Brussels,Brussels,Yes,159.9,141,10,No,Direct debit,48,644,1,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,43,Brussels,Brussels,Yes,9.0,545,49,No,Direct debit,8,183,2,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Liège,Wallonia,Yes,60.6,1266,69,No,Direct debit,7,208,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Leuven,Flanders,Yes,25.9,209,77,Yes,Bank transfer,16,262,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Antwerp,Flanders,Yes,10.7,119,21,No,Bank transfer,17,181,0,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,42,Charleroi,Wallonia,Yes,135.3,272,3,No,Direct debit,6,637,0,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,52,Brussels,Brussels,Yes,125.8,367,23,No,Direct debit,8,354,4,0,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,27,Mons,Wallonia,No,9.0,691,10,No,Bank transfer,5,160,1,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,41,Antwerp,Flanders,Yes,65.5,340,13,No,Direct debit,31,273,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,31,Charleroi,Wallonia,Yes,8.7,551,59,No,Direct debit,36,94,2,1,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,54,Hasselt,Flanders,No,8.6,302,3,No,Direct debit,15,100,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,21,Namur,Wallonia,No,6.0,381,70,Yes,Direct debit,31,110,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Mons,Wallonia,No,60.3,235,22,No,Direct debit,32,343,1,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Antwerp,Flanders,Yes,45.2,181,36,No,Bank transfer,4,301,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,58,Mons,Wallonia,No,4.8,707,3,Yes,Direct debit,82,123,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,39,Ghent,Flanders,Yes,7.1,318,16,Yes,Direct debit,42,139,0,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,33,Ghent,Flanders,Yes,68.9,577,3,No,Direct debit,6,555,0,2,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,62,Ghent,Flanders,Yes,8.8,232,130,No,Direct debit,5,110,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,22,Mechelen,Flanders,No,5.7,435,65,No,Direct debit,4,141,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,18,Brussels,Brussels,Yes,68.6,63,24,No,Direct debit,4,304,0,2,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,45,Mechelen,Flanders,No,88.1,335,10,Yes,Direct debit,34,675,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,33,Mechelen,Flanders,No,8.2,252,108,Yes,Direct debit,16,80,4,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,27,Liège,Wallonia,Yes,34.2,887,16,No,Direct debit,37,272,1,3,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,48,Namur,Wallonia,No,143.6,158,7,Yes,Direct debit,33,275,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,42,Leuven,Flanders,Yes,11.8,392,33,No,Card,23,166,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,33,Antwerp,Flanders,Yes,55.2,540,115,No,Direct debit,28,292,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,24,Antwerp,Flanders,Yes,10.4,812,0,No,Direct debit,1,100,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,50,Antwerp,Flanders,Yes,58.3,744,10,No,Direct debit,9,310,0,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Brussels,Brussels,Yes,52.5,414,111,Yes,Direct debit,25,231,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,38,Ghent,Flanders,Yes,26.6,455,7,No,Direct debit,1,266,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,62,Antwerp,Flanders,Yes,3.8,887,4,Yes,Direct debit,1,159,1,3,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,27,Mons,Wallonia,No,112.8,409,33,No,Direct debit,46,300,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,21,Mechelen,Flanders,No,9.4,488,79,No,Direct debit,28,127,0,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,31,Ghent,Flanders,Yes,3.5,905,25,No,Direct debit,8,104,1,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,39,Hasselt,Flanders,No,5.8,1653,208,No,Direct debit,28,120,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,42,Brussels,Brussels,Yes,32.0,516,45,Yes,Direct debit,38,287,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,37,Leuven,Flanders,Yes,48.0,610,3,No,Direct debit,9,358,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,44,Hasselt,Flanders,No,4.8,730,197,No,Direct debit,1,105,0,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,24,Leuven,Flanders,Yes,57.5,899,20,No,Direct debit,65,274,0,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,57,Ghent,Flanders,Yes,9.2,825,13,Yes,Direct debit,11,182,1,0,No,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Mons,Wallonia,No,37.2,285,32,No,Direct debit,3,166,2,2,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,53,Charleroi,Wallonia,Yes,2.6,538,14,Yes,Direct debit,17,111,0,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Hasselt,Flanders,No,54.5,828,3,No,Direct debit,36,252,0,4,No,Month-to-month
Mobile Easy,10,19.99,250,5G,45,Mechelen,Flanders,No,8.8,1017,0,No,Bank transfer,7,144,1,0,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,46,Hasselt,Flanders,No,60.5,393,23,No,Bank transfer,8,322,0,2,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Antwerp,Flanders,Yes,4.8,530,72,No,Direct debit,7,103,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,47,Ghent,Flanders,Yes,7.6,570,33,No,Direct debit,115,94,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,55,Brussels,Brussels,Yes,4.7,445,285,No,Direct debit,6,83,0,1,Yes,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,42,Leuven,Flanders,Yes,172.4,521,13,Yes,Direct debit,21,493,1,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,48,Mechelen,Flanders,No,64.3,2000,13,No,Direct debit,63,180,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,38,Antwerp,Flanders,Yes,4.2,382,6,Yes,Direct debit,4,87,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,57,Mons,Wallonia,No,61.4,402,7,No,Direct debit,85,175,0,3,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,31,Charleroi,Wallonia,Yes,106.5,107,13,No,Bank transfer,71,234,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,61,Liège,Wallonia,Yes,57.6,91,62,No,Direct debit,52,302,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Mechelen,Flanders,No,64.2,596,94,No,Bank transfer,6,281,4,3,Yes,Month-to-month
Mobile Easy,10,19.99,250,5G,22,Charleroi,Wallonia,Yes,10.4,830,147,No,Bank transfer,25,148,1,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,41,Brussels,Brussels,Yes,5.8,738,10,No,Direct debit,35,117,0,0,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,31,Namur,Wallonia,No,99.4,232,85,Yes,Direct debit,103,318,1,0,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,50,Brussels,Brussels,Yes,113.0,711,15,No,Direct debit,5,411,1,2,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,32,Namur,Wallonia,No,43.3,398,4,No,Direct debit,35,280,1,0,No,Month-to-month
Mobile Easy,10,19.99,250,5G,34,Antwerp,Flanders,Yes,5.2,333,81,No,Direct debit,10,108,0,2,No,Month-to-month
Mobile Easy,10,19.99,250,5G,18,Charleroi,Wallonia,Yes,8.6,145,40,No,Direct debit,5,170,0,0,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,34,Mons,Wallonia,No,37.3,255,7,No,Direct debit,14,171,1,4,No,Month-to-month
